,signal,safef
AC,-1,1
AD,1,1
AEX,-1,1
BO,-1,1
BP,1,1
C,-1,1
CC,1,1
CD,-1,1
CGB,1,1
CL,-1,1
CT,1,1
CU,1,1
DX,-1,1
EBL,1,1
EBM,1,1
EBS,1,1
ED,1,1
EMD,-1,1
ES,1,1
FC,-1,1
FCH,-1,1
FDX,-1,1
FEI,1,1
FFI,1,1
FLG,1,1
FSS,-1,1
FV,1,1
GC,1,1
HCM,1,1
HG,1,1
HIC,1,1
HO,1,1
JY,1,1
KC,1,1
KW,-1,1
LB,-1,1
LC,1,1
LCO,-1,1
LGO,1,1
LH,-1,1
LRC,-1,1
LSU,-1,1
MEM,1,1
MFX,-1,1
MP,1,1
MW,-1,1
NE,1,1
NG,-1,1
NIY,-1,1
NQ,1,1
O,-1,1
OJ,1,1
PA,1,1
PL,1,1
RB,-1,1
RR,1,1
RS,-1,1
S,-1,1
SB,1,1
SF,1,1
SI,1,1
SIN,1,1
SJB,1,1
SM,-1,1
SMI,-1,1
SSG,1,1
STW,-1,1
SXE,-1,1
TF,-1,1
TU,1,1
TY,1,1
US,1,1
VX,-1,1
W,1,1
YA,-1,1
YB,1,1
YM,1,1
YT2,1,1
YT3,1,1
